bill_id,line_no,sku_code,description,quantity,unit_price,line_total,is_blacklisted_phrase,fraud_risk_score
BILL00002,1,SKU01639,Rice 5kg,4,661.53,2646.12,0,0.442
BILL00002,2,SKU00917,Soft drink 2L,7,192.07,1344.49,0,0.0
BILL00002,3,SKU00650,Chocolate bar,8,198.31,1586.48,0,0.0
BILL00002,4,SKU00892,Soft drink 2L,1,101.7,101.7,0,0.0
BILL00002,5,SKU01210,Shampoo bottle,5,148.73,743.65,0,0.0
BILL00002,6,SKU01993,Detergent powder,3,458.58,1375.74,0,0.0
BILL00002,7,SKU01009,Detergent powder,7,231.14,1617.98,0,0.0
BILL00002,8,SKU02511,Chocolate bar,1,532.0,532.0,0,0.0
BILL00002,9,SKU01790,Instant noodles,3,777.89,2333.67,0,0.406
BILL00002,10,SKU02922,Instant noodles,5,448.98,2244.9,0,0.338
BILL00002,11,SKU02228,Shampoo bottle,2,503.43,1006.86,0,0.0
BILL00002,12,SKU02332,Cooking oil 1L,4,129.93,519.72,0,0.0
BILL00002,13,SKU00406,Rice 5kg,2,476.09,952.18,0,0.0
BILL00002,14,SKU01314,Fresh apples,8,113.59,908.72,0,0.0
BILL00002,15,SKU02984,Toothpaste family pack,7,368.3,2578.1,0,0.4
BILL00002,16,SKU00205,Shampoo bottle,7,469.47,3286.29,0,0.568
BILL00003,1,SKU02726,Soft drink 2L,5,612.5,3062.5,0,0.517
BILL00003,2,SKU00970,Toothpaste family pack,3,113.11,339.33,0,0.0
BILL00003,3,SKU01760,Instant noodles,1,288.93,288.93,0,0.0
BILL00003,4,SKU00122,Toothpaste family pack,7,613.87,4297.09,0,0.432
BILL00003,5,SKU01586,Shampoo bottle,7,597.79,4184.53,0,0.21
BILL00003,6,SKU00143,Chocolate bar,2,482.91,965.82,0,0.0
BILL00003,7,SKU01280,Toothpaste family pack,6,794.79,4768.74,0,0.505
BILL00003,8,SKU02892,Cooking oil 1L,4,462.76,1851.04,0,0.0
BILL00003,9,SKU00642,Chocolate bar - CUSTOM PRICE OVERRIDE,3,272.02,816.06,1,0.835
BILL00003,10,SKU02087,Instant noodles,4,102.65,410.6,0,0.0
BILL00003,11,SKU02520,Toothpaste family pack,4,317.36,1269.44,0,0.0
BILL00003,12,SKU02542,Packaged biscuits,5,361.96,1809.8,0,0.0
BILL00003,13,SKU02462,Cooking oil 1L,1,457.06,457.06,0,0.0
BILL00003,14,SKU00685,Chocolate bar,3,66.71,200.13,0,0.0
BILL00003,15,SKU02905,Fresh apples,6,535.62,3213.72,0,0.28
BILL00003,16,SKU02165,Rice 5kg,3,202.65,607.95,0,0.0
BILL00003,17,SKU02215,Cooking oil 1L,2,73.01,146.02,0,0.0
BILL00003,18,SKU02353,Cooking oil 1L,8,18.9,151.2,0,0.0
BILL00003,19,SKU02599,Packaged biscuits,6,236.32,1417.92,0,0.0
BILL00003,20,SKU02895,Fresh apples,3,689.99,2069.97,0,0.348
BILL00003,21,SKU02472,Detergent powder,8,109.18,873.44,0,0.0
BILL00003,22,SKU01407,Rice 5kg,2,527.01,1054.02,0,0.0
BILL00003,23,SKU00462,Soft drink 2L,5,486.13,2430.65,0,0.573
BILL00003,24,SKU01392,Chocolate bar,4,39.51,158.04,0,0.0
BILL00003,25,SKU01000,Toothpaste family pack,2,70.45,140.9,0,0.0
BILL00003,26,SKU02984,Detergent powder,1,201.39,201.39,0,0.0
BILL00003,27,SKU01738,Fresh apples,2,222.69,445.38,0,0.0
BILL00003,28,SKU00367,Fresh apples,5,394.19,1970.95,0,0.0
BILL00003,29,SKU02825,Soft drink 2L,1,296.42,296.42,0,0.0
BILL00004,1,SKU01419,Fresh apples,7,357.34,2501.38,0,0.395
BILL00004,2,SKU01631,Shampoo bottle,7,320.46,2243.22,0,0.304
BILL00004,3,SKU02724,Toothpaste family pack,5,732.96,3664.8,0,0.268
BILL00004,4,SKU02192,Toothpaste family pack,8,62.41,499.28,0,0.0
BILL00004,5,SKU02210,Cooking oil 1L,7,92.48,647.36,0,0.0
BILL00004,6,SKU02080,Detergent powder,7,247.38,1731.66,0,0.0
BILL00004,7,SKU01136,Soft drink 2L,6,408.66,2451.96,0,0.393
BILL00004,8,SKU02260,Rice 5kg,1,573.38,573.38,0,0.0
BILL00004,9,SKU00958,Cooking oil 1L,5,326.59,1632.95,0,0.0
BILL00004,10,SKU00994,Instant noodles,2,253.73,507.46,0,0.0
BILL00004,11,SKU02836,Instant noodles,7,83.72,586.04,0,0.0
BILL00004,12,SKU00288,Detergent powder,4,590.19,2360.76,0,0.401
BILL00004,13,SKU02532,Soft drink 2L,2,172.14,344.28,0,0.0
BILL00004,14,SKU01104,Toothpaste family pack,2,398.15,796.3,0,0.0
BILL00004,15,SKU00343,Packaged biscuits,3,84.61,253.83,0,0.0
BILL00004,16,SKU00978,Detergent powder,1,636.4,636.4,0,0.0
BILL00004,17,SKU00280,Shampoo bottle,6,320.27,1921.62,0,0.0
BILL00004,18,SKU00146,Instant noodles,4,388.92,1555.68,0,0.0
BILL00004,19,SKU00123,Cooking oil 1L,6,30.0,180.0,0,0.0
BILL00004,20,SKU02816,Toothpaste family pack,2,551.31,1102.62,0,0.0
BILL00004,21,SKU01026,Soft drink 2L,6,518.21,3109.26,0,0.347
BILL00004,22,SKU01523,Packaged biscuits,6,620.94,3725.64,0,0.36
BILL00004,23,SKU00302,Shampoo bottle,2,13.84,27.68,0,0.0
BILL00004,24,SKU00429,Toothpaste family pack,6,114.83,688.98,0,0.0
BILL00004,25,SKU00515,Soft drink 2L,4,786.49,3145.96,0,0.599
BILL00004,26,SKU00896,Packaged biscuits - UNBILLED ITEM,7,377.49,2642.43,1,1.0
BILL00004,27,SKU01393,Soft drink 2L,7,436.51,3055.57,0,0.341
BILL00004,28,SKU02117,Cooking oil 1L,1,465.61,465.61,0,0.0
BILL00004,29,SKU00620,Instant noodles,5,336.34,1681.7,0,0.0
BILL00005,1,SKU01384,Packaged biscuits,2,287.37,574.74,0,0.0
BILL00005,2,SKU02753,Detergent powder,8,36.11,288.88,0,0.0
BILL00005,3,SKU01408,Packaged biscuits,1,123.64,123.64,0,0.0
BILL00005,4,SKU02028,Toothpaste family pack,8,357.07,2856.56,0,0.584
BILL00005,5,SKU01595,Chocolate bar,6,77.91,467.46,0,0.0
BILL00005,6,SKU00410,Rice 5kg,4,421.17,1684.68,0,0.0
BILL00005,7,SKU01137,Fresh apples,6,673.08,4038.48,0,0.506
BILL00005,8,SKU00932,Cooking oil 1L,7,384.8,2693.6,0,0.293
BILL00005,9,SKU02684,Chocolate bar,6,184.32,1105.92,0,0.0
BILL00005,10,SKU00079,Soft drink 2L,4,714.39,2857.56,0,0.513
BILL00005,11,SKU00015,Shampoo bottle,5,549.6,2748.0,0,0.3
BILL00005,12,SKU02021,Chocolate bar,1,661.34,661.34,0,0.0
BILL00005,13,SKU02472,Packaged biscuits,5,35.82,179.1,0,0.0
BILL00005,14,SKU00210,Rice 5kg,1,767.75,767.75,0,0.0
BILL00006,1,SKU00050,Detergent powder,5,662.82,3314.1,0,0.234
BILL00007,1,SKU02162,Instant noodles,7,680.34,4762.38,0,0.33
BILL00007,2,SKU02897,Chocolate bar,3,234.95,704.85,0,0.0
BILL00007,3,SKU00509,Instant noodles,8,776.37,6210.96,0,0.302
BILL00007,4,SKU01851,Instant noodles,6,133.05,798.3,0,0.0
BILL00007,5,SKU00094,Fresh apples,8,404.37,3234.96,0,0.402
BILL00007,6,SKU00239,Shampoo bottle,4,644.48,2577.92,0,0.455
BILL00007,7,SKU01367,Toothpaste family pack,8,464.58,3716.64,0,0.434
BILL00007,8,SKU02599,Soft drink 2L,7,648.58,4540.06,0,0.322
BILL00007,9,SKU00073,Rice 5kg,3,213.81,641.43,0,0.0
BILL00008,1,SKU01595,Shampoo bottle,6,425.68,2554.08,0,0.217
BILL00008,2,SKU01588,Instant noodles,4,671.79,2687.16,0,0.524
BILL00008,3,SKU00641,Cooking oil 1L,1,780.87,780.87,0,0.0
BILL00008,4,SKU00502,Soft drink 2L,2,210.77,421.54,0,0.0
BILL00008,5,SKU01947,Rice 5kg,7,549.57,3846.99,0,0.3
BILL00008,6,SKU00982,Toothpaste family pack,8,543.37,4346.96,0,0.259
BILL00008,7,SKU00092,Toothpaste family pack,5,796.54,3982.7,0,0.587
BILL00008,8,SKU02555,Cooking oil 1L - VOID AND REENTER,6,760.15,4560.9,1,0.997
BILL00008,9,SKU02617,Chocolate bar,1,360.68,360.68,0,0.0
BILL00008,10,SKU01506,Fresh apples,7,692.35,4846.45,0,0.578
BILL00008,11,SKU01060,Fresh apples,3,177.67,533.01,0,0.0
BILL00008,12,SKU00564,Rice 5kg,5,579.67,2898.35,0,0.272
BILL00008,13,SKU01283,Cooking oil 1L,1,600.98,600.98,0,0.0
BILL00008,14,SKU01136,Instant noodles,1,367.49,367.49,0,0.0
BILL00008,15,SKU00636,Detergent powder - UNBILLED ITEM,7,631.66,4421.62,1,0.947
BILL00008,16,SKU01090,Instant noodles,5,96.05,480.25,0,0.0
BILL00008,17,SKU01271,Detergent powder,3,554.05,1662.15,0,0.0
BILL00008,18,SKU00849,Fresh apples,2,28.15,56.3,0,0.0
BILL00008,19,SKU00418,Fresh apples,7,86.42,604.94,0,0.0
BILL00008,20,SKU01449,Cooking oil 1L,5,615.37,3076.85,0,0.202
